,title,link
0,햄버거 와 김밥을 자주먹고 고독사 를 이기는 혼자 행복한 48세 노총각,https://youtube.com/watch?v=yichcjaTtSU
1,월급날 고급차 타고 퇴근길 돼지국밥 먹으로 갑니다 혼자 행복한 48세 노총각,https://youtube.com/watch?v=LpQInO_DtzQ
2,고급차를 세차하고 산에서 김밥먹는 장가못간 남자,https://youtube.com/watch?v=mf2VFkW0a6U
3,낯선 한 여자가 48세 모솔 독거노총각 집에 찾아왔는데,https://youtube.com/watch?v=vhAHIXmgPP8
4,그 시절을 너무 리얼하게 그려 요즘 개봉했더라면 바로 나락갔을 스토리 ㄷㄷㄷ,https://youtube.com/watch?v=13bBoipiSqM
5,저축을 많이해서 새로운 시대를 준비하는 48세 삼류 노총각 한잔 하면서 삼겹살,https://youtube.com/watch?v=7QrxTlnr_Mc
6,52살 솔로 상렬 행님과의 만남1부,https://youtube.com/watch?v=5la_cZAX2qo
7,낡은 신발을 신고 월급100만원으로 아파트를 산 남자,https://youtube.com/watch?v=2zb0F-VYRLQ
8,바나나와 햄버거를 잘먹는 40대 독거노총각의 삶 비싼아파트 사지 마세요,https://youtube.com/watch?v=LXEH84E-fqk
9,김밥 햄버거 라면을 먹고 소소한 행복을 느끼는 40대 독거 노총각의 삶,https://youtube.com/watch?v=uxTp02lDdo4
10,35년만에 장애인이 되어서 돌아온 친구와 술한잔 장가못간 48세 노총각,https://youtube.com/watch?v=S8Pa3GzuAxk
11,강제로 독거노총각 브이로그 만들기ㅋㅋㅋㅋㅋ,https://youtube.com/watch?v=t8G1MFbxOy0
12,천원짜리 짜장라면에 행복을 느끼는 40대 노총각,https://youtube.com/watch?v=GESp1ONTrLc
13,독거노총각 의 필수품 #텐가 를 알아보자 #shorts,https://youtube.com/shorts/_gKkje6GpuY
14,40대 외로운 노총각의 삶 일상 이야기,https://youtube.com/watch?v=yTjdrZUY0UQ
15,현실적인 40대 도시속 자연인의 삶,https://youtube.com/watch?v=iqmI59By2Q4
16,엄마를 만나고 왔습니다 장가못가도 행복한 48세 노총각,https://youtube.com/watch?v=KAa_IQyOT9Y
17,마누라 없어도 밥 잘챙겨먹는 48세 독거노총각 의 현실 #shorts,https://youtube.com/shorts/l1zh70tOBMA
18,1만원짜리 고급뷔페 1시간동안 먹어도 살 안찌는 48세 노총각,https://youtube.com/watch?v=jXNv8pXR8e8
19,누런 런닝입고 월급타서 고급피자 사먹는 장가못간 48세 독거노총각,https://youtube.com/watch?v=Ui4t7T0Jk4k
20,물가가 많이 올라서 이렇게 묵고 삽니더예 48세 장가못간 노총각,https://youtube.com/watch?v=VKzo7qZykNk
21,일요일 밀면 먹고 반복된 일상이야기,https://youtube.com/watch?v=CEqKeJlrA3A
22,40살전에 시집가고 싶다는 여자동생 만나 술한잔 하고  왔습니다,https://youtube.com/watch?v=8d6cNFR4-Po
23,누런 런닝입고 일다녀와서 반찬이 없어서 1만4천원 짜리 스시초밥 모밀국수먹는 독거노총각,https://youtube.com/watch?v=gpYYHQGrIXM
24,누런 런닝입고 고기를 많이 먹어도 살이 안찌네요 장가못간 48세 독거노총각,https://youtube.com/watch?v=YpOFP_NZ0hk
25,햄버거 와 김밥을 자주먹고 고독사 를 이기는 혼자 행복한 48세 노총각,https://youtube.com/watch?v=yichcjaTtSU
26,월급날 고급차 타고 퇴근길 돼지국밥 먹으로 갑니다 혼자 행복한 48세 노총각,https://youtube.com/watch?v=LpQInO_DtzQ
27,독거 노총각들의 내츄럴 노가리까기 #지상렬#독거노총각#노가리,https://youtube.com/watch?v=mIQ97YZoJMY
28,노년에 어떻게 살까 걱정하지 마세요 막창먹고 한잔하는 48세 노총각,https://youtube.com/watch?v=BLCDL7QFY3s
29,3천만원 짜리 14평 고급아파트에서 일다녀와서  새우버거를 먹습니다,https://youtube.com/watch?v=PKVZR9-JTFg
30,산에서 짜장면 먹는 자연인  8가지의 반찬을 먹는 장가못간 48세 노총각,https://youtube.com/watch?v=maRY_q_pJTc
31,독거 노총각 형님 매매 3천만원 아파트 놀러 갔다 왔습니다 (faet.유튜버 독거노총각)- [집돌이&집순이집],https://youtube.com/watch?v=HmQYixYouxA
32,일상이야기 김밥과 과일을 많이먹는 삶,https://youtube.com/watch?v=h1zKZ0rz-n4
33,1억짜리 빌라에 사는 40대 [노총각] 1부,https://youtube.com/watch?v=qtIEmsZlA68
34,집은 있지만 여자는 없는 40대 [노총각] 7부,https://youtube.com/watch?v=bqpZUDgRwwY
